accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,99;0,5;0,01;0,01078;0,00632;laplace;1;1;0,00632;e3_en_poster;0,13877;0,02324;0,026260000000000002;0,0;4;0,0;0,03273;0,56708
0,99;0,5;0,01;0,01078;0,00632;laplace;1;1;0,00632;em_en_poster;0,13877;0,02324;0,026260000000000002;0,0;4;0,0;0,03273;0,56708
;;0,01;;0,00632;laplace;1;1;1e-05;tice_0;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_1;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_2;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;-2e-05;tice_3;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;-0,0;tice_4;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_5;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;0,0001;tice_6;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;0,0098;tice_7;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_8;;;;;4;;;
;;0,01;;0,00632;laplace;1;1;0,0324;tice+ntc;;;;;4;;;
0,9886;0,49928999999999996;0,01;0,02102;0,00632;laplace;1;1;0,02451;dedpul;0,37763;0,03067;0,02451;0,0;5;0,0;0,10629000000000001;0,48106000000000004
0,9269;0,47803;0,01;0,05226;0,00632;laplace;1;1;0,0608;dedpul_GMM;0,44878999999999997;0,06694;0,0608;0,00315;5;0,02;0,20673000000000002;0,46353
0,99;0,5;0,01;0,01;0,00632;laplace;1;1;0,0;dedpul_hist;0,34539000000000003;0,00619;0,0;0,0;5;0,0;0,01099;0,5
0,9249;0,47702;0,01;0,08394;0,00632;laplace;1;1;0,195;dedpul_no_heur;0,37106;0,22799;0,23014;0,00305;5;0,02;0,27526999999999996;0,37023
0,943;0,48616000000000004;0,01;0,02785;0,00632;laplace;1;1;0,20432;baseline_dedpul;0,16984000000000002;0,06425;0,06533;0,004220000000000001;5;0,02;0,13563;0,37227
0,99;0,5;0,01;0,0117;0,00632;laplace;1;1;0,004;e1_en;0,24389;0,03522;0,03241;0,0;5;0,0;0,04548;0,3943
0,99;0,5;0,01;0,03009;0,00632;laplace;1;1;0,13663;e3_en;0,217;0,13004000000000002;0,13346;0,0;5;0,0;0,14572000000000002;0,3674
0,99;0,5;0,01;0,02331;0,00632;laplace;1;1;0,10474000000000001;em_en;0,2122;0,10322;0,10475;0,0;5;0,0;0,1193;0,37108
0,9886;0,49928999999999996;0,01;0,0117;0,00632;laplace;1;1;-0,56839;dedpul_poster;0,35234;0,012490000000000001;0,00633;0,0;5;0,0;0,04306;0,48576
0,99;0,5;0,01;0,01086;0,00632;laplace;1;1;-3,97339;dedpul_GMM_poster;0,34568000000000004;0,012490000000000001;0,00633;0,0;5;0,0;0,03211;0,48761000000000004
0,99;0,5;0,01;0,009909999999999999;0,00632;laplace;1;1;0,01317;dedpul_hist_poster;0,059789999999999996;0,00782;0,00633;0,0;5;0,0;0,009179999999999999;0,49838000000000005
0,9879;0,49893999999999994;0,01;0,0119;0,00632;laplace;1;1;-0,6492600000000001;dedpul_no_heur_poster;0,35284;0,01247;0,0063100000000000005;0,0;5;0,0;0,04513;0,4778
0,9886;0,49928999999999996;0,01;0,02053;0,00632;laplace;1;1;0,00632;baseline_dedpul_poster;0,37656999999999996;0,03005;0,02389;0,0;5;0,0;0,10397;0,4812
0,99;0,5;0,01;0,01182;0,00632;laplace;1;1;0,00632;e1_en_poster;0,24497;0,03651;0,033760000000000005;0,0;5;0,0;0,04695;0,39199
0,99;0,5;0,01;0,01182;0,00632;laplace;1;1;0,00632;e3_en_poster;0,24497;0,03651;0,033760000000000005;0,0;5;0,0;0,04695;0,39199
0,99;0,5;0,01;0,01182;0,00632;laplace;1;1;0,00632;em_en_poster;0,24497;0,03651;0,033760000000000005;0,0;5;0,0;0,04695;0,39199
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_0;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_1;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_2;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_3;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;0,0;tice_4;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_5;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;0,0;tice_6;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;0,0;tice_7;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_8;;;;;5;;;
;;0,01;;0,00632;laplace;1;1;-0,0;tice+ntc;;;;;5;;;
0,9889;0,50439;0,01;0,01122;0,00632;laplace;1;1;0,0029;dedpul;0,32422;0,00867;0,0029100000000000003;0,07692;6;0,01;0,03945;0,5282899999999999
0,9881;0,5039899999999999;0,01;0,01204;0,00632;laplace;1;1;0,00435;dedpul_GMM;0,37181;0,01069;0,00436;0,047619999999999996;6;0,01;0,04858;0,4989
0,99;0,5;0,01;0,01;0,00632;laplace;1;1;0,0;dedpul_hist;0,34539000000000003;0,00634;0,0;0,0;6;0,0;0,01111;0,5
0,9859;0,50288;0,01;0,03639;0,00632;laplace;1;1;0,087;dedpul_no_heur;0,27988;0,12550999999999998;0,12903;0,02326;6;0,01;0,16601;0,52058
0,9883;0,5040899999999999;0,01;0,01911;0,00632;laplace;1;1;0,15717;baseline_dedpul;0,20755;0,0707;0,07343;0,052629999999999996;6;0,01;0,09963999999999999;0,52387
0,99;0,5;0,01;0,0106;0,00632;laplace;1;1;0,0011300000000000001;e1_en;0,19127;0,018969999999999997;0,01896;0,0;6;0,0;0,0308;0,51958
0,99;0,5;0,01;0,01622;0,00632;laplace;1;1;0,07787999999999999;e3_en;0,10815999999999999;0,0728;0,07881;0,0;6;0,0;0,08383;0,53051
0,99;0,5;0,01;0,020919999999999998;0,00632;laplace;1;1;0,10692;em_en;0,13530999999999999;0,10063;0,10693;0,0;6;0,0;0,10926;0,53051
0,9889;0,50439;0,01;0,01125;0,00632;laplace;1;1;0,023790000000000002;dedpul_poster;0,28889000000000004;0,01018;0,00632;0,07692;6;0,01;0,040389999999999995;0,54087
0,9881;0,5039899999999999;0,01;0,01205;0,00632;laplace;1;1;0,01542;dedpul_GMM_poster;0,28489000000000003;0,01123;0,00633;0,047619999999999996;6;0,01;0,048960000000000004;0,5223899999999999
0,99;0,5;0,01;0,009909999999999999;0,00632;laplace;1;1;0,015590000000000001;dedpul_hist_poster;0,05683;0,00775;0,00632;0,0;6;0,0;0,00911;0,5042399999999999
0,9859;0,50288;0,01;0,013619999999999998;0,00632;laplace;1;1;-0,20695;dedpul_no_heur_poster;0,35129;0,011940000000000001;0,00633;0,02326;6;0,01;0,06299;0,53017
0,9889;0,50439;0,01;0,01122;0,00632;laplace;1;1;0,00632;baseline_dedpul_poster;0,31246999999999997;0,008759999999999999;0,0033200000000000005;0,07692;6;0,01;0,03952;0,5376
0,99;0,5;0,01;0,010740000000000001;0,00632;laplace;1;1;0,00632;e1_en_poster;0,18454;0,02111;0,02186;0,0;6;0,0;0,0333;0,51675
0,99;0,5;0,01;0,010740000000000001;0,00632;laplace;1;1;0,00632;e3_en_poster;0,18454;0,02111;0,02186;0,0;6;0,0;0,0333;0,51675
0,99;0,5;0,01;0,010740000000000001;0,00632;laplace;1;1;0,00632;em_en_poster;0,18454;0,02111;0,02186;0,0;6;0,0;0,0333;0,51675
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_0;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_1;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_2;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;0,0;tice_3;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_4;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;-0,0;tice_5;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_6;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;0,0035700000000000003;tice_7;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;-0,0;tice_8;;;;;6;;;
;;0,01;;0,00632;laplace;1;1;0,01128;tice+ntc;;;;;6;;;
0,9895;0,49975;0,01;0,0105;0,00632;laplace;1;1;0,0005;dedpul;0,35769;0,006690000000000001;0,0005;0,0;7;0,0;0,02489;0,49975
0,9891;0,49955;0,01;0,01083;0,00632;laplace;1;1;0,0019199999999999998;dedpul_GMM;0,35209;0,00784;0,0019199999999999998;0,0;7;0,0;0,030930000000000003;0,5042800000000001
0,9895;0,49975;0,01;0,024640000000000002;0,00632;laplace;1;1;0,12345;dedpul_hist;0,16874;0,1173;0,12345999999999999;0,0;7;0,0;0,12555;0,54789
