accuracy;accuracy_balanced;alpha;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,9135;0,72834;0,95;0,07384;bank;0,8539;e3_en;1,14744;0,8636299999999999;42023;1000;0,9738100000000001;2;0,95;0,9340700000000001;0,8857299999999999
0,9220200000000001;0,69652;0,95;0,06447;bank;0,88346;em_en;0,8839600000000001;0,88346;42023;1000;0,9701299999999999;2;0,95;0,9470700000000001;0,88605
0,9499299999999999;0,50537;0,95;0,0401;bank;0,95096;dedpul_poster;0,14361;0,95;42023;1000;0,9505100000000001;2;0,95;0,9993200000000001;0,88618
0,94781;0,54597;0,95;0,0402;bank;0,9521799999999999;dedpul_GMM_poster;0,14397000000000001;0,95001;42023;1000;0,95442;2;0,95;0,99246;0,8862
0,95;0,5;0,95;0,0401;bank;0,95005;dedpul_hist_poster;0,14377;0,95;42023;1000;0,95;2;0,95;1,0;0,88536
0,9499299999999999;0,50537;0,95;0,0401;bank;0,9509700000000001;dedpul_no_heur_poster;0,14357999999999999;0,95001;42023;1000;0,9505100000000001;2;0,95;0,9993200000000001;0,8862899999999999
0,9499299999999999;0,50537;0,95;0,0401;bank;0,95096;baseline_dedpul_poster;0,14361;0,95;42023;1000;0,9505100000000001;2;0,95;0,9993200000000001;0,88618
0,9434600000000001;0,5917;0,95;0,04566;bank;0,95;e1_en_poster;0,34160999999999997;0,9400200000000001;42023;1000;0,95895;2;0,95;0,98254;0,88628
0,9434600000000001;0,5917;0,95;0,04566;bank;0,95;e3_en_poster;0,34160999999999997;0,9400200000000001;42023;1000;0,95895;2;0,95;0,98254;0,88628
0,9434600000000001;0,5917;0,95;0,04566;bank;0,95;em_en_poster;0,34160999999999997;0,9400200000000001;42023;1000;0,95895;2;0,95;0,98254;0,88628
;;0,95;;bank;0,85108;tice+ntc;;;42023;1000;;2;0,95;;
0,95;0,5;0,95;0,04767;bank;0,95;nnre_sigmoid;0,22565;0,9929600000000001;42023;1000;0,95;2;0,95;1,0;0,81295
