accuracy;accuracy_balanced;alpha;balanced_brier_score;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,9751299999999999;0,81614;0,95;;0,01828;spambase;0,95;em_en;0,1367;0,95304;2935;1666;0,98121;5;0,94991;0,9928299999999999;0,9869899999999999
0,97308;0,82473;0,95;;0,020319999999999998;spambase;0,951;dedpul;0,10203;0,95001;2935;1666;0,9822;6;0,94991;0,9896;0,9803700000000001
0,97308;0,82473;0,95;;0,020319999999999998;spambase;0,951;random_dedpul;0,10203;0,95001;2935;1666;0,9822;6;0,94991;0,9896;0,9803700000000001
0,97308;0,82473;0,95;;0,020319999999999998;spambase;0,951;baseline_dedpul;0,10203;0,95001;2935;1666;0,9822;6;0,94991;0,9896;0,9803700000000001
0,9727399999999999;0,8052199999999999;0,95;;0,020909999999999998;spambase;0,95;e1_en;0,19967000000000001;0,9517700000000001;2935;1666;0,98014;6;0,94991;0,99139;0,98106
0,9727399999999999;0,8052199999999999;0,95;;0,020909999999999998;spambase;0,95;e3_en;0,19967000000000001;0,9517700000000001;2935;1666;0,98014;6;0,94991;0,99139;0,98106
0,9727399999999999;0,8052199999999999;0,95;;0,020909999999999998;spambase;0,95;em_en;0,19967000000000001;0,9517700000000001;2935;1666;0,98014;6;0,94991;0,99139;0,98106
0,9737600000000001;0,8315299999999999;0,95;;0,01925;spambase;0,9512200000000001;dedpul;0,11805999999999998;0,95;2935;1666;0,9829;7;0,94991;0,9896;0,98388
0,9737600000000001;0,8315299999999999;0,95;;0,01925;spambase;0,9512200000000001;random_dedpul;0,11805999999999998;0,95;2935;1666;0,9829;7;0,94991;0,9896;0,98388
0,9737600000000001;0,8315299999999999;0,95;;0,01925;spambase;0,9512200000000001;baseline_dedpul;0,11805999999999998;0,95;2935;1666;0,9829;7;0,94991;0,9896;0,98388
0,97411;0,80916;0,95;;0,0193;spambase;0,95;e1_en;0,14019;0,95299;2935;1666;0,98051;7;0,94991;0,9924700000000001;0,9840899999999999
0,97411;0,80916;0,95;;0,0193;spambase;0,95;e3_en;0,14019;0,95299;2935;1666;0,98051;7;0,94991;0,9924700000000001;0,9840899999999999
0,97411;0,80916;0,95;;0,0193;spambase;0,95;em_en;0,14019;0,95299;2935;1666;0,98051;7;0,94991;0,9924700000000001;0,9840899999999999
