accuracy;accuracy_balanced;alpha;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,7545;0,7545;0,5;0,17023;bank;0,45823;dedpul;0,70919;0,45824;4000;1000;0,78278;2;0,5;0,7045;0,83252
0,7545;0,7545;0,5;0,17023;bank;0,45823;random_dedpul;0,70919;0,45824;4000;1000;0,78278;2;0,5;0,7045;0,83252
0,759;0,759;0,5;0,16795;bank;0,48452;baseline_dedpul;0,6584300000000001;0,48191999999999996;4000;1000;0,7797;2;0,5;0,722;0,83254
0,71275;0,71275;0,5;0,20314000000000002;bank;0,1835;e1_en;2,33692;0,32406;4000;1000;0,82605;2;0,5;0,539;0,82491
0,7609999999999999;0,7609999999999999;0,5;0,17029;bank;0,53379;e3_en;0,64708;0,54033;4000;1000;0,7228899999999999;2;0,5;0,8465;0,8332
0,72025;0,72025;0,5;0,18859;bank;0,62348;em_en;0,58121;0,62349;4000;1000;0,6580600000000001;2;0,5;0,917;0,8331700000000001
0,7340000000000001;0,7340000000000001;0,5;0,18974000000000002;bank;0,36803;dedpul;0,9610200000000001;0,36804000000000003;4000;1000;0,81452;3;0,5;0,606;0,82625
0,7340000000000001;0,7340000000000001;0,5;0,18974000000000002;bank;0,36803;random_dedpul;0,9610200000000001;0,36804000000000003;4000;1000;0,81452;3;0,5;0,606;0,82625
0,74025;0,74025;0,5;0,18037999999999998;bank;0,40652;baseline_dedpul;0,75879;0,40273000000000003;4000;1000;0,8106;3;0,5;0,627;0,82634
0,67925;0,67925;0,5;0,22803;bank;0,12625;e1_en;2,82845;0,27025;4000;1000;0,87305;3;0,5;0,4195;0,8202
0,762;0,762;0,5;0,17298;bank;0,47644;e3_en;0,70549;0,49401999999999996;4000;1000;0,76226;3;0,5;0,7615;0,82709
0,76025;0,76025;0,5;0,17378;bank;0,424;em_en;0,8577100000000001;0,4499;4000;1000;0,79225;3;0,5;0,7055;0,8270000000000001
0,7355;0,7355;0,5;0,19919;bank;0,36646999999999996;dedpul;2,40754;0,36648000000000003;4000;1000;0,7981;4;0,5;0,6305;0,81004
0,7355;0,7355;0,5;0,19919;bank;0,36646999999999996;random_dedpul;2,40754;0,36648000000000003;4000;1000;0,7981;4;0,5;0,6305;0,81004
0,73675;0,73675;0,5;0,18323;bank;0,43443999999999994;baseline_dedpul;0,7943600000000001;0,42593000000000003;4000;1000;0,7921;4;0,5;0,642;0,81233
0,6665;0,6665;0,5;0,23886;bank;0,0;e1_en;3,25258;0,26559;4000;1000;0,84401;4;0,5;0,4085;0,80318
0,7440000000000001;0,7440000000000001;0,5;0,1793;bank;0,34152;e3_en;0,76227;0,4491;4000;1000;0,78176;4;0,5;0,677;0,81381
0,53075;0,53075;0,5;0,24616999999999997;bank;0,6759999999999999;em_en;0,6853600000000001;0,72553;4000;1000;0,51607;4;0,5;0,9875;0,81371
0,7625;0,7625;0,5;0,17647000000000002;bank;0,40574;dedpul;1,91503;0,40575;4000;1000;0,80103;5;0,5;0,6985;0,83319
0,7625;0,7625;0,5;0,17647000000000002;bank;0,40574;random_dedpul;1,91503;0,40575;4000;1000;0,80103;5;0,5;0,6985;0,83319
0,7655;0,7655;0,5;0,17479;bank;0,42233000000000004;baseline_dedpul;1,67829;0,41484;4000;1000;0,79665;5;0,5;0,713;0,8344299999999999
0,70775;0,70775;0,5;0,2104;bank;0,1843;e1_en;2,6053;0,3012;4000;1000;0,8686799999999999;5;0,5;0,4895;0,8289799999999999
0,768;0,768;0,5;0,16777;bank;0,52508;e3_en;0,63561;0,5212600000000001;4000;1000;0,7461;5;0,5;0,8125;0,8372299999999999
0,76925;0,76925;0,5;0,1664;bank;0,49101000000000006;em_en;0,69589;0,49101999999999996;4000;1000;0,76566;5;0,5;0,7759999999999999;0,83716
0,7655;0,7655;0,5;0,1744;bank;0,40268000000000004;dedpul;1,4313200000000001;0,40269;4000;1000;0,76982;6;0,5;0,7575;0,83562
0,7655;0,7655;0,5;0,1744;bank;0,40268000000000004;random_dedpul;1,4313200000000001;0,40269;4000;1000;0,76982;6;0,5;0,7575;0,83562
0,767;0,767;0,5;0,1651;bank;0,4981;baseline_dedpul;0,68794;0,47176999999999997;4000;1000;0,76331;6;0,5;0,774;0,83704
0,70125;0,70125;0,5;0,21034;bank;0,17951;e1_en;2,43879;0,297;4000;1000;0,86961;6;0,5;0,4735;0,83188
0,76775;0,76775;0,5;0,16883;bank;0,53379;e3_en;0,65598;0,526;4000;1000;0,73415;6;0,5;0,8395;0,83754
0,768;0,768;0,5;0,16639;bank;0,47284;em_en;0,82055;0,47285;4000;1000;0,76197;6;0,5;0,7795;0,8373299999999999
0,75975;0,75975;0,5;0,18417999999999998;bank;0,40601;dedpul;1,07362;0,40602;4000;1000;0,7770699999999999;7;0,5;0,7285;0,8268
0,75975;0,75975;0,5;0,18417999999999998;bank;0,40601;random_dedpul;1,07362;0,40602;4000;1000;0,7770699999999999;7;0,5;0,7285;0,8268
0,76025;0,76025;0,5;0,17274;bank;0,47541000000000005;baseline_dedpul;0,84893;0,46368000000000004;4000;1000;0,76844;7;0,5;0,745;0,8267
0,70425;0,70425;0,5;0,21725;bank;0,22144;e1_en;2,73409;0,3123;4000;1000;0,83347;7;0,5;0,5105;0,8166800000000001
0,76175;0,76175;0,5;0,17276;bank;0,5503899999999999;e3_en;0,73673;0,52949;4000;1000;0,74247;7;0,5;0,8015;0,82657
0,7440000000000001;0,7440000000000001;0,5;0,17753;bank;0,42228999999999994;em_en;1,13069;0,4223;4000;1000;0,79576;7;0,5;0,6565;0,8265100000000001
0,75225;0,75225;0,5;0,18428;bank;0,38111;dedpul;2,36564;0,38111999999999996;4000;1000;0,80743;8;0,5;0,6625;0,82806
0,75225;0,75225;0,5;0,18428;bank;0,38111;random_dedpul;2,36564;0,38111999999999996;4000;1000;0,80743;8;0,5;0,6625;0,82806
0,7615;0,7615;0,5;0,17931;bank;0,41455;baseline_dedpul;0,7833;0,39934000000000003;4000;1000;0,79818;8;0,5;0,7;0,8325299999999999
0,72025;0,72025;0,5;0,2095;bank;0,21453000000000003;e1_en;2,7297700000000003;0,30791;4000;1000;0,84549;8;0,5;0,539;0,82594
0,76525;0,76525;0,5;0,1695;bank;0,54791;e3_en;0,67978;0,5282600000000001;4000;1000;0,75059;8;0,5;0,7945;0,8336399999999999
0,7565;0,7565;0,5;0,17194;bank;0,4238;em_en;1,21907;0,42381;4000;1000;0,80572;8;0,5;0,6759999999999999;0,8328200000000001
0,76;0,76;0,5;0,16938;bank;0,45399999999999996;dedpul;0,87103;0,45401;4000;1000;0,76423;9;0,5;0,752;0,83268
