accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,948;0,50274;0,05;0,04757;0,03161;laplace;1;1;0,0574;em_en;0,20097;0,030160000000000003;0,05741;0,14286;1;0,008;0,057870000000000005;0,72131
0,95;0,5;0,05;0,04905;0,03161;laplace;1;1;0,012440000000000001;dedpul;1,3755899999999999;0,02663;0,012440000000000001;0,0;2;0,0;0,04791;0,5716600000000001
0,95;0,5;0,05;0,04905;0,03161;laplace;1;1;0,012440000000000001;random_dedpul;1,3755899999999999;0,02663;0,012440000000000001;0,0;2;0,0;0,04791;0,5716600000000001
0,95;0,5;0,05;0,04848;0,03161;laplace;1;1;0,16185;baseline_dedpul;0,48639;0,026160000000000003;0,04314;0,0;2;0,0;0,0552;0,71837
0,95;0,5;0,05;0,0474;0,03161;laplace;1;1;0,0;e1_en;0,56475;0,01676;0,02169;0,0;2;0,0;0,031089999999999996;0,71973
0,95;0,5;0,05;0,046560000000000004;0,03161;laplace;1;1;0,05483;e3_en;0,20903000000000002;0,0291;0,058129999999999994;0,0;2;0,0;0,03832;0,72311
0,95;0,5;0,05;0,04674;0,03161;laplace;1;1;0,024;em_en;0,42348;0,01305;0,03291;0,0;2;0,0;0,027030000000000002;0,7198899999999999
0,9364;0,51937;0,05;0,062060000000000004;0,03161;laplace;1;1;0,06205;dedpul;0,77646;0,04827;0,06205;0,14583;3;0,055999999999999994;0,11663;0,6681199999999999
0,9364;0,51937;0,05;0,062060000000000004;0,03161;laplace;1;1;0,06205;random_dedpul;0,77646;0,04827;0,06205;0,14583;3;0,055999999999999994;0,11663;0,6681199999999999
0,9208;0,52253;0,05;0,07651000000000001;0,03161;laplace;1;1;0,21181;baseline_dedpul;0,33002;0,1332;0,16530999999999998;0,10753;3;0,08;0,18042;0,7013199999999999
0,9472;0,49853000000000003;0,05;0,052289999999999996;0,03161;laplace;1;1;0,00599;e1_en;0,62356;0,0276;0,05044;0,0;3;0,0;0,0677;0,6783399999999999
0,946;0,49788999999999994;0,05;0,05806;0,03161;laplace;1;1;0,11577;e3_en;0,23321;0,08591;0,11803;0,0;3;0,0;0,11456;0,70452
0,946;0,49788999999999994;0,05;0,057120000000000004;0,03161;laplace;1;1;0,107;em_en;0,24164000000000002;0,07796;0,11007;0,0;3;0,0;0,10887000000000001;0,70435
0,95;0,5;0,05;0,05;0,03161;laplace;1;1;0,0;dedpul;1,7269400000000001;0,03291;0,0;0,0;4;0,0;0,05515;0,5
0,95;0,5;0,05;0,05;0,03161;laplace;1;1;0,0;random_dedpul;1,7269400000000001;0,03291;0,0;0,0;4;0,0;0,05515;0,5
0,95;0,5;0,05;0,05917000000000001;0,03161;laplace;1;1;0,29141999999999996;baseline_dedpul;0,39461999999999997;0,10127;0,1302;0,0;4;0,0;0,1273;0,63354
0,95;0,5;0,05;0,048530000000000004;0,03161;laplace;1;1;0,0;e1_en;0,58152;0,025789999999999997;0,01196;0,0;4;0,0;0,04335;0,62625
0,95;0,5;0,05;0,04722;0,03161;laplace;1;1;0,061079999999999995;e3_en;0,2439;0,04071;0,06106;0,0;4;0,0;0,047139999999999994;0,63615
0,95;0,5;0,05;0,0472;0,03161;laplace;1;1;0,060520000000000004;em_en;0,24402;0,04042;0,060529999999999994;0,0;4;0,0;0,0468;0,6361600000000001
0,95;0,5;0,05;0,04832;0,03161;laplace;1;1;0,011000000000000001;dedpul;0,80294;0,027739999999999997;0,011009999999999999;0,0;5;0,0;0,041710000000000004;0,65056
0,95;0,5;0,05;0,04832;0,03161;laplace;1;1;0,011000000000000001;random_dedpul;0,80294;0,027739999999999997;0,011009999999999999;0,0;5;0,0;0,041710000000000004;0,65056
0,95;0,5;0,05;0,05467999999999999;0,03161;laplace;1;1;0,19397999999999999;baseline_dedpul;0,28454;0,08501;0,11688;0,0;5;0,0;0,10695999999999999;0,6673
0,95;0,5;0,05;0,04775;0,03161;laplace;1;1;0,0;e1_en;0,63403;0,024319999999999998;0,01617;0,0;5;0,0;0,03611;0,66862
