distribution;estimator;random_state;dmu;ds;alpha;cons_alpha;est_alpha;mean_poster;accuracy;roc;mae;rmse;log_loss;precision;recall;accuracy_balanced;brier_score
laplace;e1_en;7;1;1;0,05;0,03161;0,03161;0,03533;0,95;0,45836000000000005;0,04923;0,06139;0,5244800000000001;0,0;0,0;0,5;0,04905
laplace;e3_en;7;1;1;0,05;0,03161;0,03161;0,03533;0,95;0,45836000000000005;0,04923;0,06139;0,5244800000000001;0,0;0,0;0,5;0,04905
laplace;em_en;7;1;1;0,05;0,03161;0,03161;0,03533;0,95;0,45836000000000005;0,04923;0,06139;0,5244800000000001;0,0;0,0;0,5;0,04905
laplace;dedpul;8;1;1;0,05;0,03161;-0,45395;0,03161;0,9259999999999999;0,56079;0,04651;0,10834;1,43708;0,04545;0,024;0,49873999999999996;0,05917000000000001
laplace;random_dedpul;8;1;1;0,05;0,03161;-0,45395;0,03161;0,9259999999999999;0,56079;0,04651;0,10834;1,43708;0,04545;0,024;0,49873999999999996;0,05917000000000001
laplace;baseline_dedpul;8;1;1;0,05;0,03161;0,03161;0,05694;0,9024;0,60823;0,06312999999999999;0,15129;1,24522;0,11110999999999999;0,136;0,53937;0,06846000000000001
laplace;e1_en;8;1;1;0,05;0,03161;0,03161;0,06201;0,9416;0,6823199999999999;0,04359;0,08924;0,5999800000000001;0,08;0,016;0,50316;0,05325
laplace;e3_en;8;1;1;0,05;0,03161;0,03161;0,06201;0,9416;0,6823199999999999;0,04359;0,08924;0,5999800000000001;0,08;0,016;0,50316;0,05325
laplace;em_en;8;1;1;0,05;0,03161;0,03161;0,06201;0,9416;0,6823199999999999;0,04359;0,08924;0,5999800000000001;0,08;0,016;0,50316;0,05325
laplace;dedpul;9;1;1;0,05;0,03161;0,13268;0,0316;0,9359999999999999;0,51052;0,06141;0,1399;1,5389;0,0;0,0;0,49263;0,06573
laplace;random_dedpul;9;1;1;0,05;0,03161;0,13268;0,0316;0,9359999999999999;0,51052;0,06141;0,1399;1,5389;0,0;0,0;0,49263;0,06573
laplace;baseline_dedpul;9;1;1;0,05;0,03161;0,03161;0,02514;0,9359999999999999;0,47708999999999996;0,05646;0,13047;1,77267;0,0;0,0;0,49263;0,06352999999999999
laplace;e1_en;9;1;1;0,05;0,03161;0,03161;0,04241;0,9492;0,62515;0,03772;0,07302;0,38784;0,0;0,0;0,49958;0,05072
laplace;e3_en;9;1;1;0,05;0,03161;0,03161;0,04241;0,9492;0,62515;0,03772;0,07302;0,38784;0,0;0,0;0,49958;0,05072
laplace;em_en;9;1;1;0,05;0,03161;0,03161;0,04241;0,9492;0,62515;0,03772;0,07302;0,38784;0,0;0,0;0,49958;0,05072
laplace;dedpul;0;1;1;0,25;0,15803;0,10359000000000002;0,15804;0,75;0,7025399999999999;0,0506;0,07076;1,79227;0,0;0,0;0,5;0,17634
laplace;random_dedpul;0;1;1;0,25;0,15803;0,10359000000000002;0,15804;0,75;0,7025399999999999;0,0506;0,07076;1,79227;0,0;0,0;0,5;0,17634
laplace;baseline_dedpul;0;1;1;0,25;0,15803;0,15803;0,18936;0,75;0,70193;0,05429;0,08472;1,7846;0,0;0,0;0,5;0,17331
laplace;e1_en;0;1;1;0,25;0,15803;0,15803;0,1804;0,7504;0,70712;0,051629999999999995;0,07055;1,6526;0,66667;0,0032;0,50133;0,17340999999999998
laplace;e3_en;0;1;1;0,25;0,15803;0,15803;0,1804;0,7504;0,70712;0,051629999999999995;0,07055;1,6526;0,66667;0,0032;0,50133;0,17340999999999998
laplace;em_en;0;1;1;0,25;0,15803;0,15803;0,1804;0,7504;0,70712;0,051629999999999995;0,07055;1,6526;0,66667;0,0032;0,50133;0,17340999999999998
laplace;dedpul;1;1;1;0,25;0,15803;0,21219000000000002;0,15803;0,7476;0,72355;0,07873;0,09713;0,85039;0,375;0,0144;0,5032;0,17815
laplace;random_dedpul;1;1;1;0,25;0,15803;0,21219000000000002;0,15803;0,7476;0,72355;0,07873;0,09713;0,85039;0,375;0,0144;0,5032;0,17815
laplace;baseline_dedpul;1;1;1;0,25;0,15803;0,15803;0,10887999999999999;0,7472;0,72309;0,07401;0,10765;1,17851;0,34783000000000003;0,0128;0,5024;0,1899
laplace;e1_en;1;1;1;0,25;0,15803;0,15803;0,16895;0,7476;0,72546;0,08211;0,0955;0,79109;0,36364;0,0128;0,50267;0,17468
laplace;e3_en;1;1;1;0,25;0,15803;0,15803;0,16895;0,7476;0,72546;0,08211;0,0955;0,79109;0,36364;0,0128;0,50267;0,17468
laplace;em_en;1;1;1;0,25;0,15803;0,15803;0,16895;0,7476;0,72546;0,08211;0,0955;0,79109;0,36364;0,0128;0,50267;0,17468
laplace;dedpul;2;1;1;0,25;0,15803;0,19668;0,15804;0,75;0,7233;0,01807;0,03319;2,40273;0,0;0,0;0,5;0,17119
laplace;random_dedpul;2;1;1;0,25;0,15803;0,19668;0,15804;0,75;0,7233;0,01807;0,03319;2,40273;0,0;0,0;0,5;0,17119
laplace;baseline_dedpul;2;1;1;0,25;0,15803;0,15803;0,14297;0,75;0,7216600000000001;0,02493;0,03875;2,47381;0,0;0,0;0,5;0,17374
laplace;e1_en;2;1;1;0,25;0,15803;0,15803;0,1696;0,7472;0,72573;0,04451;0,060129999999999996;1,2647899999999999;0,4386;0,04;0,51147;0,17082
laplace;e3_en;2;1;1;0,25;0,15803;0,15803;0,1696;0,7472;0,72573;0,04451;0,060129999999999996;1,2647899999999999;0,4386;0,04;0,51147;0,17082
laplace;em_en;2;1;1;0,25;0,15803;0,15803;0,1696;0,7472;0,72573;0,04451;0,060129999999999996;1,2647899999999999;0,4386;0,04;0,51147;0,17082
laplace;dedpul;3;1;1;0,25;0,15803;0,20756999999999998;0,15804;0,7484;0,72734;0,04262;0,08753999999999999;2,3275799999999998;0,48276;0,0896;0,5288;0,1775
laplace;random_dedpul;3;1;1;0,25;0,15803;0,20756999999999998;0,15804;0,7484;0,72734;0,04262;0,08753999999999999;2,3275799999999998;0,48276;0,0896;0,5288;0,1775
laplace;baseline_dedpul;3;1;1;0,25;0,15803;0,15803;0,13851;0,7476;0,72624;0,05074;0,09525;2,39003;0,47321;0,0848;0,52667;0,18218
laplace;e1_en;3;1;1;0,25;0,15803;0,15803;0,16654000000000002;0,7468;0,73051;0,06274;0,07701000000000001;0,67865;0,45348999999999995;0,0624;0,51867;0,17298
laplace;e3_en;3;1;1;0,25;0,15803;0,15803;0,16654000000000002;0,7468;0,73051;0,06274;0,07701000000000001;0,67865;0,45348999999999995;0,0624;0,51867;0,17298
laplace;em_en;3;1;1;0,25;0,15803;0,15803;0,16654000000000002;0,7468;0,73051;0,06274;0,07701000000000001;0,67865;0,45348999999999995;0,0624;0,51867;0,17298
laplace;dedpul;4;1;1;0,25;0,15803;0,30876;0,15804;0,7396;0,6816800000000001;0,04575;0,07934;0,6925100000000001;0,375;0,0624;0,5138699999999999;0,18678
laplace;random_dedpul;4;1;1;0,25;0,15803;0,30876;0,15804;0,7396;0,6816800000000001;0,04575;0,07934;0,6925100000000001;0,375;0,0624;0,5138699999999999;0,18678
laplace;baseline_dedpul;4;1;1;0,25;0,15803;0,15803;0,09851;0,742;0,67687;0,07356;0,11373;3,44653;0,29167;0,0224;0,50213;0,20152
laplace;e1_en;4;1;1;0,25;0,15803;0,15803;0,15937;0,7440000000000001;0,69467;0,0837;0,09493;0,55102;0,17390999999999998;0,0064;0,49813;0,1819
laplace;e3_en;4;1;1;0,25;0,15803;0,15803;0,15937;0,7440000000000001;0,69467;0,0837;0,09493;0,55102;0,17390999999999998;0,0064;0,49813;0,1819
laplace;em_en;4;1;1;0,25;0,15803;0,15803;0,15937;0,7440000000000001;0,69467;0,0837;0,09493;0,55102;0,17390999999999998;0,0064;0,49813;0,1819
laplace;dedpul;5;1;1;0,25;0,15803;0,14490999999999998;0,15802;0,7492;0,6996600000000001;0,03331;0,06189;3,1040400000000004;0,46153999999999995;0,0192;0,5058699999999999;0,17856
laplace;random_dedpul;5;1;1;0,25;0,15803;0,14490999999999998;0,15802;0,7492;0,6996600000000001;0,03331;0,06189;3,1040400000000004;0,46153999999999995;0,0192;0,5058699999999999;0,17856
laplace;baseline_dedpul;5;1;1;0,25;0,15803;0,15803;0,16159;0,7492;0,69931;0,03592;0,06367;3,10142;0,46429;0,0208;0,5064;0,17832
laplace;e1_en;5;1;1;0,25;0,15803;0,15803;0,17305;0,7452;0,7086100000000001;0,03652;0,0625;1,7594599999999998;0,45833;0,1056;0,532;0,1748
laplace;e3_en;5;1;1;0,25;0,15803;0,15803;0,17305;0,7452;0,7086100000000001;0,03652;0,0625;1,7594599999999998;0,45833;0,1056;0,532;0,1748
laplace;em_en;5;1;1;0,25;0,15803;0,15803;0,17305;0,7452;0,7086100000000001;0,03652;0,0625;1,7594599999999998;0,45833;0,1056;0,532;0,1748
laplace;dedpul;6;1;1;0,25;0,15803;0,09807;0,15804;0,7508;0,71725;0,03461;0,08242999999999999;2,94299;0,50794;0,1024;0,53467;0,17664000000000002
laplace;random_dedpul;6;1;1;0,25;0,15803;0,09807;0,15804;0,7508;0,71725;0,03461;0,08242999999999999;2,94299;0,50794;0,1024;0,53467;0,17664000000000002
laplace;baseline_dedpul;6;1;1;0,25;0,15803;0,15803;0,17449;0,75;0,7196600000000001;0,04227;0,08659;2,8401400000000003;0,5;0,1104;0,5368;0,17481
laplace;e1_en;6;1;1;0,25;0,15803;0,15803;0,17739000000000002;0,75;0,73898;0,04268;0,06483;1,2266;0,5;0,1184;0,53947;0,16884000000000002
laplace;e3_en;6;1;1;0,25;0,15803;0,15803;0,17739000000000002;0,75;0,73898;0,04268;0,06483;1,2266;0,5;0,1184;0,53947;0,16884000000000002
